t_index	term	df
1435	brightest	2
1436	brightey	1
1437	brightli	1
1438	brilliant	3
1439	brim	1
1440	bring	154
1441	brink	16
1442	brisk	1
1443	briskli	3
1444	bristl	3
1445	britain	45
1446	brith	1
1447	british	104
1448	briton	5
1449	broad	13
1450	broadbas	2
1451	broadbeam	1
1452	broadbrush	1
1453	broadcast	79
1454	broaden	2
1455	broader	10
1456	broadli	3
1457	broder	2
1458	brokaw	1
1459	broke	124
1460	broken	52
1461	broker	10
1462	brokerag	1
1463	bronco	1
1464	bronxvil	1
1465	bronz	2
1466	brood	1
1467	brook	3
1468	brooklyn	3
1469	broom	1
1470	brother	95
1471	brotherinlaw	6
1472	brought	136
1473	brow	2
1474	brown	20
1475	brownskin	1
1476	broz	1
1477	bruce	1
1478	bruis	7
1479	brunei	27
1480	brunswick	1
1481	brunt	4
1482	brush	6
1483	brussel	8
1484	brutal	17
1485	bryan	4
1486	bryann	1
1487	bryant	2
1488	bs	3
1489	bubbl	1
1490	bubblegum	1
1491	buccan	1
1492	buchanan	7
1493	buck	9
1494	bucket	4
1495	buckl	14
1496	bud	3
1497	budapest	1
1498	buddhist	1
1499	buddi	1
1500	budget	10
1501	budnev	1
1502	budor	1
1503	budsmen	1
1504	budva	1
1505	bueni	2
1506	buf	4
1507	buff	4
1508	buffalo	4
1509	buffer	1
1510	bug	7
1511	bugss	1
1512	build	412
1513	builder	6
1514	buildup	2
1515	built	34
1516	bulatov	8
1517	bulg	1
1518	bulgaria	3
1519	bulk	5
1520	bulkhead	6
1521	bulki	1
1522	bulldoz	38
1523	bullet	8
1524	bulletin	3
1525	bulletproof	6
1526	bulli	3
1527	bullzdoz	1
1528	bum	1
1529	bump	2
1530	bumper	5
1531	bumpi	1
1532	bunch	9
1533	bundl	1
1534	bungl	6
1535	bunk	4
1536	bunker	7
1537	bunkroom	1
1538	bunt	1
1539	buoy	7
1540	buraika	1
1541	burch	2
1542	burden	7
1543	bureau	40
1544	bureaucraci	4
1545	bureaucrat	9
1546	burglar	7
1547	burglari	9
1548	burgsmul	2
1549	buri	157
1550	burial	18
1551	burk	3
1552	burkeclass	2
1553	burkhard	1
1554	burkina	10
1555	burkinab	1
1556	burkl	5
1557	burli	4
1558	burn	62
1559	burnedout	3
1560	burner	2
1561	burnt	3
1562	burri	1
1563	burst	10
1564	burton	8
1565	buse	20
1566	bush	490
1567	bushcheney	2
1568	bushgor	1
1569	bushnel	1
1570	bushquail	1
1571	bushybeard	1
1572	busi	138
1573	busiest	1
1574	busili	1
1575	businessman	62
1576	businessmen	5
1577	buss	1
1578	bust	9
1579	bustamant	2
1580	bustl	4
1581	butcher	4
1582	butter	1
1583	button	4
1584	buttress	5
1585	buy	51
1586	buyer	3
1587	buzz	6
1588	bye	1
1589	byfeet	1
1590	byfoot	15
1591	bypass	6
1592	byrd	7
1593	cab	2
1594	cabana	1
1595	cabin	2
1596	cabinet	54
1597	cabl	6
1598	cacak	15
1599	cach	2
1600	cadav	1
1601	cadet	1
1602	caeti	2
1603	cafe	4
1604	cafetalon	1
1605	cafeteria	1
1606	cage	5
1607	cagl	1
1608	cahokia	3
1609	cairo	6
1610	caisson	1
1611	cake	5
1612	calam	5
1613	calamit	1
1614	calatrava	2
1615	calcul	10
1616	calculu	1
1617	calcutta	4
1618	calderon	2
1619	calena	1
1620	caley	1
1621	calhoun	1
1622	calib	4
1623	calif	6
1624	california	42
1625	calina	1
1626	calix	1
1627	callahan	2
1628	callen	3
1629	caller	7
1630	callin	2
1631	calloff	1
1632	callou	1
1633	callous	1
1634	calm	42
1635	calmli	1
1636	calvario	6
1637	calvert	1
1638	cambodia	7
1639	camden	1
1640	camel	3
1641	camera	28
1642	cameraman	3
1643	cameroon	2
1644	camouflag	7
1645	camp	61
1646	campaign	346
1647	campbel	1
1648	campfir	3
1649	campground	1
1650	campu	2
1651	canada	15
1652	canal	41
